HUD ID Number:,Project Name:,Project Address:,Project City:,Project State:,Project ZIP Code:,Project's Latitude:,Project's Longitude:,Unique 2010 Census Tract Identifier Code:,Total Number of Units:,Total Low-Income Units:,Compliance Monitoring Status
ORA20070025,LEANDER COURT,4600 SE 122ND AVE,PORTLAND,OR,97236,45.4889946,-122.5374985,41051009000,37,37,Not Indicated
ORA20070035,MARTIN LUTHER KING MANOR,6620 NE SIXTH AVE,PORTLAND,OR,97211,45.57132721,-122.659111,41051003601,16,15,Not Indicated
ORA20070040,MAYBELLE CLARK MACDONALD CENTER,605 NW COUCH ST,PORTLAND,OR,97209,45.52393723,-122.6769714,41051005100,54,54,Not Indicated
ORA20070045,MORRISON,1959 SW MORRISON ST,PORTLAND,OR,97205,45.52281189,-122.691864,41051005200,140,140,Not Indicated
ORA20070050,NAWIKKA CT APTS,5110 SE 76TH AVE,PORTLAND,OR,97206,45.4859581,-122.5850906,41051000502,16,16,Not Indicated
ORA20070085,TILLICUM CT APTS,5135 SE 73RD AVE,PORTLAND,OR,97206,45.48529816,-122.5881653,41051000502,16,16,Not Indicated
ORA20070090,TRENTON TERRACE,4720 N TRENTON ST,PORTLAND,OR,97203,45.58848572,-122.7160492,41051004001,66,65,Not Indicated
ORA20070095,TRYON MEWS APTS,8453 SW 30TH AVE,PORTLAND,OR,97219,45.46347046,-122.707962,41051006502,20,20,Not Indicated
ORA20070100,VERMONT SPRINGS,1825 SW VERMONT ST,PORTLAND,OR,97219,45.47620773,-122.6976471,41051006702,15,15,Not Indicated
ORA20070110,WATERSHED AT HILLSDALE,6388 SW CAPITOL HWY,PORTLAND,OR,97239,45.47778702,-122.6974335,41051006002,51,51,Not Indicated
ORA20080010,BROADWAY VANTAGE,8238 NE BROADWAY ST,PORTLAND,OR,97220,45.53483963,-122.578476,41051002903,58,58,Not Indicated
ORA20080020,ESPERANZA COURT,3611 SE 28TH AVE,PORTLAND,OR,97202,45.49694824,-122.6378174,41051000902,70,70,Not Indicated
ORA20080040,HUMBOLDT GARDENS,5033 N VANCOUVER AVE,PORTLAND,OR,97217,45.55947495,-122.6685333,41051003401,130,130,Not Indicated
ORA20080045,JEFFREY APTS,1201 SW 11TH AVE,PORTLAND,OR,97205,45.51684952,-122.6852264,41051010600,80,80,Not Indicated
ORA20080070,MUSOLF MANOR,216 NW THIRD AVE,PORTLAND,OR,97209,45.52492523,-122.6732101,41051005100,95,95,Not Indicated
ORA20090005,ARBOR GLEN APTS,2609 SE 145TH AVE,PORTLAND,OR,97236,45.50279617,-122.5140686,41051009101,97,97,Not Indicated
ORA20090035,MIRA FLORES,8901 N NEWELL AVE,PORTLAND,OR,97203,45.58727646,-122.7329025,41051004001,32,32,Not Indicated
ORA20090055,PATTON PARK APTS,5272 N INTERSTATE AVE,PORTLAND,OR,97217,45.56094742,-122.6819,41051003501,54,54,Not Indicated
ORA20090080,ROSE SCHNITZER TOWER,1430 SW 12TH AVE,PORTLAND,OR,97201,45.51563644,-122.686554,41051005600,235,235,Not Indicated
ORA20090095,SHAVER GREEN,375 NE SHAVER ST,PORTLAND,OR,97212,45.55221939,-122.6619186,41051003402,85,85,Not Indicated
ORA20100005,ADMIRAL APTS,910 SW PARK AVE,PORTLAND,OR,97205,45.51814651,-122.6811295,41051010600,37,37,Not Indicated
ORA20100040,EASTGATE STATION,100 NE 120TH AVE,PORTLAND,OR,97220,45.52361298,-122.5389404,41051008100,61,60,Not Indicated
ORA20100050,HEWITT PLACE,846 SW 29TH WAY,TROUTDALE,OR,97060,45.51978302,-122.3956909,41051010306,44,43,Not Indicated
ORA20100075,THE MADRONA,10 N WEIDLER ST,PORTLAND,OR,97227,45.53422546,-122.6667862,41051002303,132,132,Not Indicated
ORA20100080,MARTHA WASHINGTON,1115 SW 11TH AVE,PORTLAND,OR,97205,45.51725388,-122.6850052,41051010600,108,108,Not Indicated
ORA20100100,ROSELYN APTS,424 NW 21ST AVE,PORTLAND,OR,97209,45.52576065,-122.6941605,41051004800,31,31,Not Indicated
ORA20100125,UPSHUR HOUSE,2650 NW UPSHUR ST,PORTLAND,OR,97210,45.53627014,-122.7056885,41051004500,30,29,Not Indicated
ORA20100130,WALNUT PARK (PORTLAND),5272 NE SIXTH AVE,PORTLAND,OR,97211,45.56173325,-122.6594086,41051003301,38,38,Not Indicated
