OBJECTID,GEOID,geoname,Stusab,Countyname,State,County,Tract,BLKGRP,Low,Lowmod,Lowmoduniv,Lowmod_pct,Low_vs_Lowmod_pct
163714,410510009023,"Block Group 3, Census Tract 9.02, Multnomah County, Oregon",OR,Multnomah County,41,51,902,3,1035,1065,1490,0.7148,
163715,410510010001,"Block Group 1, Census Tract 10, Multnomah County, Oregon",OR,Multnomah County,41,51,1000,1,485,685,970,0.7062,65.7513258691809
163716,410510010002,"Block Group 2, Census Tract 10, Multnomah County, Oregon",OR,Multnomah County,41,51,1000,2,435,530,1080,0.4907,
163717,410510010003,"Block Group 3, Census Tract 10, Multnomah County, Oregon",OR,Multnomah County,41,51,1000,3,440,500,1280,0.3906,
163718,410510010004,"Block Group 4, Census Tract 10, Multnomah County, Oregon",OR,Multnomah County,41,51,1000,4,310,400,770,0.5195,
163719,410510010005,"Block Group 5, Census Tract 10, Multnomah County, Oregon",OR,Multnomah County,41,51,1000,5,490,915,1505,0.608,
163720,410510011011,"Block Group 1, Census Tract 11.01, Multnomah County, Oregon",OR,Multnomah County,41,51,1101,1,315,365,435,0.8391,65.7513258691809
163721,410510011012,"Block Group 2, Census Tract 11.01, Multnomah County, Oregon",OR,Multnomah County,41,51,1101,2,750,965,1435,0.6725,
163722,410510011021,"Block Group 1, Census Tract 11.02, Multnomah County, Oregon",OR,Multnomah County,41,51,1102,1,455,600,1590,0.3774,65.7513258691809
163723,410510012011,"Block Group 1, Census Tract 12.01, Multnomah County, Oregon",OR,Multnomah County,41,51,1201,1,560,730,990,0.7374,65.7513258691809
163724,410510012012,"Block Group 2, Census Tract 12.01, Multnomah County, Oregon",OR,Multnomah County,41,51,1201,2,375,700,885,0.791,
163725,410510012013,"Block Group 3, Census Tract 12.01, Multnomah County, Oregon",OR,Multnomah County,41,51,1201,3,415,725,1045,0.6938,
163726,410510012014,"Block Group 4, Census Tract 12.01, Multnomah County, Oregon",OR,Multnomah County,41,51,1201,4,735,1270,2105,0.6033,
163727,410510012021,"Block Group 1, Census Tract 12.02, Multnomah County, Oregon",OR,Multnomah County,41,51,1202,1,180,280,1185,0.2363,65.7513258691809
163728,410510012022,"Block Group 2, Census Tract 12.02, Multnomah County, Oregon",OR,Multnomah County,41,51,1202,2,175,410,1245,0.3293,
163729,410510012023,"Block Group 3, Census Tract 12.02, Multnomah County, Oregon",OR,Multnomah County,41,51,1202,3,200,375,1030,0.3641,
